gene_name	class_type	count	probes
AK3L1	class1	5	{'cg03373960', 'cg10482024', 'cg10380652', 'cg23013958', 'cg26151454'}
AK3L1	class2	23	{'cg23523648', 'cg18312587', 'cg20802051', 'cg01523799', 'cg26524552', 'cg21942430', 'cg14991727', 'cg21570528', 'cg06994324', 'cg13297881', 'cg09864858', 'cg26036018', 'cg20960392', 'cg23983726', 'cg08911690', 'cg00009916', 'cg24049468', 'cg02619167', 'cg23164993', 'cg18324123', 'cg10142878', 'cg10716862', 'cg06661924'}
HECTD3	class1	5	{'cg00352397', 'cg16613192', 'cg00347280', 'cg20599096', 'cg21648040'}
HECTD3	class2	11	{'cg24119085', 'cg27088716', 'cg08425065', 'cg22920538', 'cg00010654', 'cg19753255', 'cg23888281', 'cg22080628', 'cg13431108', 'cg05966837', 'cg10325398'}
BARHL2	class1	5	{'cg25026529', 'cg13939859', 'cg07135732', 'cg11823511', 'cg20311863'}
BARHL2	class2	12	{'cg01921432', 'cg13975503', 'cg18322569', 'cg26332310', 'cg15979173', 'cg13486820', 'cg06384463', 'cg06959142', 'cg17241310', 'cg09866757', 'cg05303208', 'cg00010742'}
S100A13	class1	14	{'cg14188111', 'cg15559456', 'cg26672071', 'cg14467840', 'cg22706106', 'cg21936775', 'cg07898899', 'cg10963218', 'cg15900544', 'cg20847746', 'cg06419659', 'cg17729941', 'cg02331910', 'cg04077668'}
S100A13	class2	21	{'cg02573566', 'cg15207993', 'cg13467169', 'cg17080740', 'cg02067580', 'cg23241429', 'cg26882115', 'cg26359488', 'cg17973565', 'cg13283942', 'cg17138369', 'cg00012362', 'cg10224088', 'cg11343894', 'cg02072376', 'cg13946767', 'cg24884190', 'cg26548293', 'cg22176994', 'cg06819431', 'cg26148377'}
S100A1	class1	8	{'cg11343894', 'cg02573566', 'cg13946767', 'cg07898899', 'cg06419659', 'cg02331910', 'cg04077668', 'cg00012362'}
S100A1	class2	6	{'cg15559456', 'cg14467840', 'cg26882115', 'cg10963218', 'cg20847746', 'cg17080740'}
EPHA10	class1	7	{'cg01796781', 'cg26653529', 'cg00013409', 'cg00667938', 'cg08737136', 'cg21439231', 'cg10122079'}
EPHA10	class2	33	{'cg10090792', 'cg12128017', 'cg08134680', 'cg12158389', 'cg13452258', 'cg24375409', 'cg17515737', 'cg01967642', 'cg12012383', 'cg15601529', 'cg13851466', 'cg13779907', 'cg04247829', 'cg09176402', 'cg12548638', 'cg21821095', 'cg22425711', 'cg01379846', 'cg17717442', 'cg11664987', 'cg11521434', 'cg06163371', 'cg12139725', 'cg07447922', 'cg12746947', 'cg04105479', 'cg14523898', 'cg20510207', 'cg08739385', 'cg04622024', 'cg18537001', 'cg01855272', 'cg21306240'}
CACHD1	class1	6	{'cg12809259', 'cg12730853', 'cg03202416', 'cg01393233', 'cg15132650', 'cg03068051'}
CACHD1	class2	33	{'cg00825690', 'cg15255399', 'cg16487794', 'cg17181043', 'cg23260625', 'cg25210796', 'cg23617193', 'cg11750112', 'cg25021456', 'cg12049550', 'cg02284587', 'cg01521258', 'cg10381153', 'cg21679730', 'cg05120074', 'cg26224018', 'cg11795488', 'cg03330820', 'cg21912203', 'cg24735226', 'cg24306340', 'cg26262482', 'cg00013899', 'cg19304410', 'cg20876010', 'cg19745637', 'cg04400131', 'cg12299795', 'cg24639703', 'cg13679776', 'cg11746396', 'cg15138712', 'cg09070316'}
ESPN	class1	5	{'cg03518417', 'cg15718222', 'cg09549827', 'cg22227104', 'cg19253827'}
ESPN	class2	46	{'cg13066963', 'cg20248421', 'cg24470693', 'cg00014168', 'cg07017737', 'cg10210806', 'cg04134845', 'cg01085974', 'cg21211780', 'cg23919534', 'cg01337514', 'cg24153044', 'cg00853242', 'cg12143651', 'cg27307523', 'cg15274864', 'cg00158227', 'cg03255783', 'cg04980281', 'cg13326801', 'cg01715088', 'cg13284574', 'cg26815404', 'cg16414143', 'cg05068146', 'cg19809453', 'cg26419880', 'cg00917101', 'cg00248454', 'cg04871364', 'cg12406391', 'cg11404532', 'cg09809932', 'cg24050109', 'cg17430636', 'cg06189708', 'cg26603264', 'cg13356427', 'cg03397716', 'cg10949430', 'cg25097074', 'cg00297432', 'cg06085683', 'cg01913077', 'cg16672535', 'cg00833822'}
SLFNL1	class1	5	{'cg02331769', 'cg00842602', 'cg00960373', 'cg14853406', 'cg26329440'}
SLFNL1	class2	15	{'cg13367406', 'cg00016593', 'cg05646865', 'cg22435441', 'cg10557584', 'cg19358202', 'cg09637004', 'cg11813544', 'cg15433996', 'cg16026501', 'cg22005565', 'cg02560699', 'cg02290550', 'cg08733496', 'cg17184491'}
RER1	class1	6	{'cg15924509', 'cg16579225', 'cg18860787', 'cg23207616', 'cg17444015', 'cg26876101'}
RER1	class2	39	{'cg09024606', 'cg12442015', 'cg03343403', 'cg00407413', 'cg26022577', 'cg13014406', 'cg00306532', 'cg24083364', 'cg13102658', 'cg09314301', 'cg06178308', 'cg03960390', 'cg27540799', 'cg18435782', 'cg01065210', 'cg00016996', 'cg03533858', 'cg03005781', 'cg09255966', 'cg12902405', 'cg26826109', 'cg04559183', 'cg27235337', 'cg22040823', 'cg16590777', 'cg01812865', 'cg09349094', 'cg22526705', 'cg11070929', 'cg11735641', 'cg11142617', 'cg15733049', 'cg00854799', 'cg23028631', 'cg17468855', 'cg25154306', 'cg07220650', 'cg07141317', 'cg15035360'}
TTC13	class1	6	{'cg03017653', 'cg10324224', 'cg20395940', 'cg20136738', 'cg02099313', 'cg27306913'}
TTC13	class2	10	{'cg16563656', 'cg22484397', 'cg06078874', 'cg08270913', 'cg06707168', 'cg00018229', 'cg01805856', 'cg02844629', 'cg07011025', 'cg05776488'}
ARV1	class1	5	{'cg08270913', 'cg06707168', 'cg00018229', 'cg07011025', 'cg05776488'}
ARV1	class2	12	{'cg16563656', 'cg03017653', 'cg06078874', 'cg04411337', 'cg10324224', 'cg20395940', 'cg12741407', 'cg20136738', 'cg02844629', 'cg02099313', 'cg16024801', 'cg27306913'}
PER3	class1	7	{'cg23927002', 'cg01444397', 'cg17465881', 'cg11843502', 'cg05803631', 'cg06487986', 'cg11753033'}
PER3	class2	19	{'cg00019458', 'cg09168692', 'cg04725166', 'cg11978441', 'cg08764927', 'cg10059324', 'cg24454741', 'cg09327610', 'cg12258811', 'cg25514503', 'cg14204433', 'cg17328665', 'cg08926642', 'cg11668188', 'cg08134286', 'cg00811891', 'cg17724687', 'cg04837231', 'cg22507406'}
SPATA1	class1	6	{'cg02325880', 'cg23255950', 'cg01000656', 'cg03757594', 'cg02984142', 'cg24995240'}
SPATA1	class2	14	{'cg00020720', 'cg27037943', 'cg23054925', 'cg11341527', 'cg05355055', 'cg00357368', 'cg16261581', 'cg04877893', 'cg11227541', 'cg13469748', 'cg02858053', 'cg07706442', 'cg25350198', 'cg23441167'}
HIPK1	class1	7	{'cg16922557', 'cg17588904', 'cg18283844', 'cg01023668', 'cg22853954', 'cg12406132', 'cg08864035'}
HIPK1	class2	24	{'cg21210650', 'cg25414924', 'cg18081760', 'cg08529825', 'cg08900394', 'cg05946692', 'cg03352347', 'cg16145701', 'cg12610119', 'cg13932286', 'cg18973817', 'cg00023702', 'cg06200361', 'cg20784259', 'cg21943652', 'cg01883521', 'ch.1.2681285F', 'cg00964039', 'cg16650099', 'cg24357276', 'cg00786406', 'cg12657739', 'cg27523547', 'cg24552463'}
PANK4	class1	7	{'cg22530293', 'cg06186150', 'cg09044743', 'cg25386426', 'cg17128799', 'cg19516647', 'cg08153752'}
PANK4	class2	53	{'cg27173245', 'cg24605830', 'cg17797446', 'cg08418375', 'cg16987365', 'cg01012666', 'cg06536150', 'cg02083536', 'cg14173199', 'cg08471814', 'cg07762402', 'cg20950978', 'cg15267720', 'cg00024198', 'cg07010340', 'cg10011777', 'cg15595501', 'cg19238270', 'cg14858763', 'cg09828310', 'cg03991333', 'cg25993158', 'cg09245989', 'cg06866616', 'ch.1.95724F', 'cg24530610', 'cg23665250', 'cg11393031', 'cg04015594', 'cg25140345', 'cg22232535', 'cg24955743', 'cg06545477', 'cg20003329', 'cg27442054', 'cg24046159', 'cg11455386', 'cg24720621', 'cg10321120', 'cg07476798', 'cg07832834', 'cg13455110', 'cg17838553', 'cg20332471', 'cg25975165', 'cg19713963', 'cg07424616', 'cg01486239', 'cg17445605', 'cg20103201', 'cg22127114', 'cg11709150', 'cg00295182'}
PADI3	class1	5	{'cg17589397', 'cg01459162', 'cg11534596', 'cg08464855', 'cg06878808'}
PADI3	class2	10	{'cg08277548', 'cg03513388', 'cg14664242', 'cg12858514', 'cg21930668', 'cg17719543', 'cg03612692', 'cg21966975', 'cg18768338', 'cg00025357'}
HPCA	class1	5	{'cg21604358', 'cg00912746', 'cg12140975', 'cg11524235', 'cg24417499'}
HPCA	class2	14	{'cg11189532', 'cg22021322', 'cg00026546', 'cg22354583', 'cg05660436', 'cg13306164', 'cg09871079', 'cg13870776', 'cg19830541', 'cg02631838', 'cg00712409', 'cg14119350', 'cg26524353', 'cg03107920'}
RNF207	class1	8	{'cg03716999', 'cg24870568', 'cg19180828', 'cg17515966', 'cg21211271', 'cg15584788', 'cg12911256', 'cg03734402'}
RNF207	class2	17	{'cg18235937', 'cg26611832', 'cg01373911', 'cg19694465', 'cg01517656', 'cg08611163', 'cg00030047', 'cg06147379', 'cg25286333', 'cg21210232', 'cg15731815', 'cg27307298', 'cg16094412', 'cg15687653', 'cg02077561', 'cg16359901', 'cg11764177'}
PRDM16	class1	13	{'cg12140144', 'cg07363855', 'cg05303132', 'cg19356825', 'cg26938364', 'cg10802480', 'cg11229543', 'cg00945293', 'cg04241652', 'cg17173498', 'cg01908338', 'cg08528984', 'cg07946633'}
PRDM16	class2	627	{'cg23258188', 'cg26426080', 'cg01773689', 'cg21160149', 'cg02831383', 'cg20632748', 'cg17438636', 'cg09282201', 'cg23950223', 'cg03352346', 'cg14522815', 'cg15505198', 'cg01909160', 'cg22029284', 'cg00706913', 'cg04509221', 'cg14169886', 'cg00715999', 'cg10588310', 'cg11138362', 'cg14659814', 'cg12578250', 'cg12034510', 'cg08541612', 'cg13858944', 'cg06911744', 'cg09663655', 'cg24851370', 'cg17421241', 'cg03347306', 'cg07109490', 'cg23818827', 'cg03942086', 'cg12268236', 'cg08007925', 'cg10573643', 'cg13800721', 'cg16120249', 'cg01647724', 'cg26653867', 'cg02299950', 'cg03396604', 'cg04080595', 'cg08262220', 'cg09271661', 'cg00049709', 'cg05375699', 'cg10248231', 'cg15727188', 'cg06814194', 'cg22949832', 'cg19825974', 'cg00329272', 'cg24968931', 'cg23025459', 'cg02892384', 'cg20165545', 'cg16265140', 'cg03885431', 'cg04499214', 'cg07576714', 'cg08739115', 'cg09891226', 'cg13907655', 'cg26044566', 'cg07424785', 'cg22510139', 'cg16555926', 'cg06348826', 'cg16059167', 'cg22712408', 'cg00152878', 'cg13875033', 'cg16372810', 'cg12804677', 'cg06099439', 'ch.1.131529R', 'cg26891867', 'cg05354921', 'cg04120680', 'cg10493186', 'cg18176395', 'cg19706803', 'cg27523417', 'cg01062116', 'cg05656251', 'cg23999080', 'cg25411239', 'cg02767788', 'cg26891951', 'cg24460544', 'cg24679453', 'cg10124445', 'cg21299491', 'cg05343184', 'cg06617975', 'cg15605124', 'cg22009660', 'cg26513591', 'cg22031783', 'cg01071314', 'cg12635919', 'cg26000536', 'cg21209214', 'cg10201191', 'cg06313241', 'cg17286074', 'cg00168240', 'cg05725148', 'cg10952596', 'cg13460934', 'cg14217558', 'cg01261194', 'cg12297125', 'cg24682449', 'cg14030836', 'cg22796923', 'cg11397493', 'cg01913436', 'cg23631759', 'cg20699701', 'cg08831401', 'cg09221035', 'cg17033287', 'cg17435683', 'cg05573412', 'cg24335751', 'cg22122862', 'cg04882365', 'cg18759102', 'cg23609682', 'cg15491247', 'cg25052274', 'cg17839324', 'cg01448098', 'cg08110058', 'cg15823330', 'cg06526522', 'cg14018153', 'cg26053881', 'cg00254258', 'cg19243842', 'cg13781678', 'cg00462240', 'cg20387569', 'cg16694785', 'cg08947445', 'cg12473797', 'cg02999781', 'cg11710123', 'cg06380199', 'cg06211525', 'cg00713435', 'cg01203812', 'cg01431482', 'cg12408250', 'cg04873098', 'cg03082523', 'cg26228024', 'cg04988794', 'cg21338857', 'cg25618424', 'cg13087441', 'cg12593511', 'cg21692930', 'cg20253172', 'cg00251678', 'cg06354193', 'cg03596113', 'cg05117823', 'cg13427179', 'cg13209113', 'cg18147147', 'cg07832245', 'cg18966232', 'cg23022057', 'cg14969646', 'cg08160128', 'cg26537941', 'cg26545580', 'cg00663575', 'cg10504805', 'cg08247866', 'cg03449456', 'cg21609526', 'cg24300981', 'cg13392571', 'cg15391425', 'cg22606873', 'cg01772149', 'cg21394778', 'cg22851557', 'cg17489690', 'cg02333588', 'cg19263228', 'cg00790672', 'cg21604357', 'cg24003749', 'cg10519004', 'cg03254465', 'cg22226775', 'cg14200569', 'cg06379192', 'cg03921839', 'cg05791946', 'cg05641535', 'cg24612696', 'cg24514678', 'cg08266202', 'cg22497969', 'cg24678113', 'cg07550869', 'cg05265611', 'cg25349768', 'cg22729726', 'cg24045378', 'cg15156029', 'cg09845604', 'cg26222332', 'cg07534194', 'cg13479148', 'cg11837181', 'cg15385589', 'cg01065697', 'cg15385853', 'cg16002887', 'cg04605504', 'cg19600583', 'cg25480121', 'cg19866637', 'cg04134748', 'cg02330501', 'cg05712300', 'cg01940181', 'cg18509466', 'cg24873695', 'cg15644970', 'cg04346637', 'cg16386396', 'cg18024629', 'cg00068377', 'cg19244263', 'cg19317333', 'cg20629417', 'cg05804170', 'cg13744917', 'cg23085167', 'cg12441214', 'cg11157172', 'cg12641165', 'cg22440573', 'cg09509365', 'cg01793374', 'cg19914124', 'cg14966901', 'cg09032732', 'cg13993877', 'cg13388191', 'cg08636115', 'cg15818632', 'cg14852736', 'cg12905252', 'cg06748955', 'cg07212761', 'cg16260013', 'cg03748986', 'cg00103908', 'cg17601209', 'cg21107944', 'cg23265656', 'cg23689722', 'cg04674248', 'cg25382214', 'cg18171009', 'cg03391389', 'cg13299984', 'cg18381051', 'cg17455155', 'cg02300576', 'cg26153353', 'cg22506548', 'cg02368820', 'cg11848748', 'cg06081361', 'cg06970451', 'cg25153629', 'cg01517962', 'cg14761019', 'cg12436196', 'cg00894041', 'cg04852443', 'cg06659980', 'cg17001566', 'cg02295527', 'cg16290522', 'cg18369939', 'cg26014413', 'cg22389615', 'cg07479843', 'cg01047045', 'cg12660813', 'cg07956247', 'cg24529814', 'cg24878051', 'cg17511251', 'cg00761129', 'cg21383687', 'cg10097755', 'cg22388607', 'cg05965745', 'cg15386853', 'cg12753787', 'cg01777678', 'cg17137218', 'cg10770533', 'cg00106196', 'cg22720392', 'cg10484617', 'cg05223638', 'cg05755889', 'cg23738647', 'cg13867039', 'cg00804097', 'cg03125480', 'cg13692649', 'cg04882216', 'cg19158549', 'cg16546658', 'cg10893986', 'cg13434489', 'cg04277097', 'cg05968369', 'cg09077530', 'cg20798164', 'cg26435254', 'cg17220278', 'cg11684115', 'cg22608265', 'cg04316231', 'cg27444751', 'cg09867208', 'cg26017484', 'cg27171194', 'cg26300135', 'cg06060874', 'cg18145414', 'cg14841011', 'cg01413848', 'cg22076614', 'cg13789673', 'cg26004086', 'cg14008571', 'cg10685531', 'cg10438527', 'cg06824308', 'cg25706502', 'cg02587392', 'cg16393928', 'cg12096707', 'cg26913155', 'cg23050300', 'cg24663541', 'cg25839663', 'cg23034362', 'cg21262776', 'cg16710099', 'cg20671649', 'cg24395386', 'cg01709189', 'cg00701856', 'cg20429350', 'cg27588093', 'cg07112867', 'cg11251399', 'cg15390554', 'cg00063748', 'cg12694058', 'cg08882612', 'cg16348158', 'cg25875953', 'cg15090440', 'cg13175786', 'cg07974025', 'cg04500730', 'cg15065169', 'cg04855369', 'cg00387551', 'cg08034916', 'cg07367222', 'cg21148623', 'cg06367135', 'cg21848088', 'cg19896590', 'cg18240463', 'cg04022097', 'cg20962938', 'cg03583979', 'cg03401034', 'cg12394168', 'cg24641193', 'cg26425711', 'cg25372239', 'cg10696969', 'cg11250802', 'cg14712575', 'cg24155739', 'cg03337482', 'cg15135176', 'cg04974499', 'cg07168837', 'cg11332505', 'cg25362585', 'cg02390319', 'cg16686396', 'cg17404787', 'cg12701603', 'cg15115055', 'cg25008795', 'cg15121959', 'cg21681320', 'cg13393782', 'cg21789941', 'cg15059176', 'cg17463432', 'cg06521247', 'cg25783497', 'cg13689309', 'cg02769687', 'cg22688535', 'cg17493795', 'cg16011907', 'cg21475097', 'cg01713250', 'cg22530255', 'cg13152158', 'cg19904265', 'cg12635191', 'cg01196079', 'cg16262201', 'cg15903666', 'cg27564383', 'cg14516243', 'cg06258549', 'cg14561530', 'cg06447122', 'cg16394551', 'cg13242468', 'cg00030466', 'cg10328768', 'cg05628625', 'cg17445936', 'cg07922619', 'cg12599275', 'cg24298696', 'cg26407161', 'cg10391102', 'cg25308086', 'cg03527274', 'cg07902789', 'cg20462242', 'cg04423188', 'cg10572807', 'cg05098425', 'cg12133962', 'cg07364162', 'cg10557907', 'cg01104489', 'cg04972748', 'cg01101873', 'cg01046951', 'cg16904580', 'cg25150520', 'cg00624908', 'cg11337967', 'cg05035508', 'cg22730864', 'cg22396632', 'cg22615510', 'cg11210422', 'cg24807850', 'cg00109293', 'cg24629455', 'cg23821340', 'cg27229529', 'cg03935455', 'cg21786372', 'cg13104257', 'cg17890044', 'cg21848084', 'cg22862319', 'cg02067098', 'cg20988960', 'cg09321238', 'cg24741666', 'cg00774867', 'cg27187555', 'cg14171460', 'cg08865559', 'cg03386715', 'cg10021614', 'cg22726349', 'cg12267948', 'cg11236641', 'cg12141662', 'cg04876124', 'cg03226435', 'cg04483711', 'cg01961086', 'cg10956857', 'cg26520908', 'cg01800445', 'cg26846424', 'cg02061757', 'cg07348009', 'cg10442735', 'cg15519786', 'cg21401095', 'cg01418153', 'cg10100424', 'cg25745135', 'cg23987257', 'cg08642716', 'cg01783650', 'cg11392550', 'cg11731671', 'cg23086843', 'cg17940849', 'cg07797660', 'cg09788762', 'cg02712922', 'cg20236995', 'cg06703375', 'cg12074391', 'cg21412629', 'cg00806481', 'cg24680497', 'cg10146008', 'cg05790380', 'cg26762347', 'cg06182121', 'cg21961270', 'cg24879939', 'cg07348768', 'cg24256745', 'cg23069843', 'cg00087546', 'cg17239558', 'cg18396811', 'cg07045460', 'cg00401797', 'cg00353844', 'cg07622451', 'cg07029287', 'cg06970772', 'cg16176095', 'cg06773295', 'cg17412901', 'cg15357022', 'cg15619820', 'cg11709254', 'cg21167817', 'cg17104202', 'cg05952379', 'cg08537652', 'cg23273418', 'cg19704073', 'cg16926445', 'cg21784411', 'cg00849570', 'cg20790030', 'cg02484476', 'cg13854423', 'cg23212796', 'cg11672390', 'cg11222503', 'cg06724693', 'cg06815308', 'cg20154143', 'cg26864297', 'cg04132510', 'cg00581154', 'cg04907885', 'cg22860172', 'cg24642064', 'cg21682432', 'cg14216672', 'cg01932308', 'cg24939838', 'cg01241450', 'cg07345710', 'cg24645149', 'cg27575873', 'cg11946666', 'cg06976533', 'cg22674798', 'cg01079872', 'cg15035278', 'cg01602345', 'cg13983181', 'cg25152368', 'cg10520026', 'cg08876274', 'cg03525023', 'cg07209071', 'cg02072896', 'cg00895834', 'cg17861161', 'cg11113363', 'cg04882222', 'cg07597386', 'cg04285727', 'cg04493316', 'cg21836418', 'cg11325950', 'cg09990962', 'cg10115320', 'cg05520109', 'cg03126058', 'cg24499605', 'cg14380230', 'cg15641565', 'cg25849029', 'cg24490279', 'cg03447135', 'cg02481237', 'cg12800122', 'cg09119863'}
PRKAB2	class1	6	{'cg14367344', 'cg24403497', 'cg04870460', 'cg16601171', 'cg17079961', 'cg05162137'}
PRKAB2	class2	10	{'cg12583537', 'cg01814963', 'cg14970434', 'cg00030476', 'cg08008854', 'cg03284175', 'cg09159389', 'cg26007659', 'cg15188491', 'cg21850578'}
RBM8A	class1	5	{'cg15611923', 'cg07591395', 'cg12418985', 'cg14530445', 'cg14019672'}
RBM8A	class2	9	{'cg05660005', 'cg15925571', 'cg26022992', 'cg00030816', 'cg22672359', 'cg00986445', 'cg14257107', 'cg13131501', 'cg08057159'}
